,x
1,1003
2,1005
3,1007
4,1009
5,1010
6,1011
7,1013
8,1015
9,1016
10,1017
11,1019
12,1020
13,1022
14,1023
15,1024
16,1026
17,1027
18,1029
19,1030
20,1032
21,1035
22,1036
23,1037
24,1038
25,1039
26,1040
27,1041
28,1042
29,1046
30,1047
31,1048
32,1049
33,1051
34,1053
35,1055
36,1056
37,1058
38,1060
39,1061
40,1064
41,1065
42,1071
43,1072
44,1074
45,1075
46,1076
47,1077
48,1078
49,1081
50,1084
51,1085
52,1086
53,1087
54,1090
55,1092
56,1104
57,1105
58,1107
59,1108
60,1109
61,1111
62,1112
63,1113
64,1114
65,1116
66,1117
67,1118
68,1119
69,1120
70,1121
71,1122
72,1123
73,1125
74,1127
75,1128
76,1129
77,1130
78,1131
79,1133
80,1134
81,1136
82,1137
83,1138
84,1139
85,1140
86,1141
87,1142
88,1143
89,1144
90,1145
91,1146
92,1147
93,1148
94,1149
95,1159
96,1161
97,1162
98,1163
99,1164
100,1165
101,1166
102,1168
103,1169
104,1170
105,1172
106,1203
107,1204
108,1206
109,1208
110,1209
111,1210
112,1211
113,1212
114,1213
115,1214
116,1215
117,1218
118,1219
119,1225
120,1227
121,1228
122,1231
123,1233
124,1234
125,1235
126,1236
127,1237
128,1240
129,1244
130,1249
131,1252
132,1255
133,1256
134,1257
135,1259
136,1260
137,1262
138,1265
139,1268
140,1269
141,1272
142,1273
143,1274
144,1281
145,1283
146,1284
147,1285
148,1286
149,1287
150,1288
151,1289
152,1290
153,1291
154,1292
155,1293
156,1294
157,1296
158,1300
159,1302
160,1303
161,1305
162,1307
163,1308
164,1312
165,1314
166,1315
167,1318
168,1319
169,1322
170,1329
171,1332
172,1335
173,1338
174,1339
175,1342
176,1344
177,1346
178,1352
179,1353
180,1354
181,1356
182,1359
183,1360
184,1362
185,1365
186,1368
187,1370
188,1373
189,1378
190,1382
191,1383
192,1384
193,1385
194,1386
195,1390
196,1395
197,1397
198,1398
199,1401
200,1403
201,1404
202,1405
203,1411
204,1412
205,1415
206,1416
207,1419
208,1421
209,1424
210,1425
211,1426
212,1428
213,1429
214,1430
215,1433
216,1437
217,1447
218,1451
219,1457
220,1459
221,1461
222,1468
223,1469
224,1478
225,1489
226,1495
227,1517
228,1529
229,1530
230,1536
231,1542
232,1544
233,1544.5
234,1546
235,1547
236,1548
237,1551
238,1552
239,1553
240,1554
241,1555
242,1557.5
243,1558.5
244,1560
245,1560.5
246,1563
247,1564
248,1565
249,1570
250,1584
251,1585
252,1586
253,1587
254,1589
255,1591
256,1594
257,1596
258,1598
259,1603
260,1604
261,1605
262,1606
263,1607
264,1609
265,1612
266,1616
267,1620
268,1622
269,1627
270,1628
271,1645
272,1646
273,1650
274,1655
275,1664
276,1665
277,1672
278,1673
279,1676
280,1677
281,1680
282,1681
283,1682
284,1685
285,1686
286,1687
287,1688
288,1689
289,1725
290,1727
291,1728
292,1729
293,1731
294,1733
295,1734
296,1735
297,1736
298,1737
299,1738
300,1739
301,1741
302,1742
303,1743
304,1744
305,1745
306,1746
307,1747
