ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1040,,,,10/12/21,,,12,70,KL,,,1040,,,,20,9/22/21,0.048163598,1,
1024,,,,10/12/21,,,12,70,KL,,,1024,,,,19,9/23/21,0.270251938,1,
1090,,,,10/12/21,,,12,70,KL,,,1090,,,,21,9/21/21,0.35703338,1,
1144,,,,10/12/21,,,12,70,PK,,,1144,,,,20,9/22/21,0.357034421,1,
1146,,,,10/12/21,,,12,70,PK,,,1146,,,,21,9/21/21,0.62321331,1,
1235,,,,10/12/21,,,12,70,KL,,,1235,,,,18,9/24/21,0.890553981,1,
1009,,,,10/12/21,,,12,70,KL,,,1009,,,,20,9/22/21,0.532119992,1,
1084,,,,10/12/21,,,12,70,KL,,,1084,,,,21,9/21/21,0.952461024,1,
1138,,,,10/12/21,,,12,70,KL,,,1138,,,,21,9/21/21,0.144572014,1,
1141,,,,10/12/21,,,12,70,KL,,,1141,,,,18,9/24/21,0.837311572,1,
1172,,,,10/12/21,,,12,70,PK,,,1172,,,,20,9/22/21,0.059031425,1,
1128,,,,10/12/21,,,12,70,KL,,,1128,,,,19,9/23/21,0.072481679,1,
1163,,,,10/12/21,,,12,70,PK,,,1163,,,,18,9/24/21,0.432327576,1,
1015,,,,10/12/21,,,12,70,KL,,,1015,,,,21,9/21/21,0.320221029,1,
1027,,,,10/12/21,,,12,70,KL,,,1027,,,,20,9/22/21,0.552772386,1,
1147,,,,10/12/21,,,12,70,PK,,,1147,,,,21,9/21/21,0.222335398,1,
1003,,,,10/12/21,,,12,70,KL,,,1003,,,,20,9/22/21,0.714230068,1,
1037,,,,10/12/21,,,12,70,KL,,,1037,,,,18,9/24/21,0.133216948,1,
1137,,,,10/12/21,,,12,70,KL,,,1137,,,,21,9/21/21,0.622176025,1,
1032,,,,10/12/21,,,12,70,KL,,,1032,,,,18,9/24/21,0.778577425,1,
1149,,,,10/12/21,,,12,70,PK,,,1149,,,,21,9/21/21,0.484847546,1,
1042,,,,10/12/21,,,12,70,KL,,,1042,,,,21,9/21/21,0.446905556,1,
1017,,,,10/12/21,,,12,70,KL,,,1017,,,,21,9/21/21,0.922643426,1,
1426,,,,10/12/21,,,12,70,PK,,,1426,,,,18,9/24/21,0.392310776,1,
1081,,,,10/12/21,,,12,70,KL,,,1081,,,,18,9/24/21,0.876003513,1,
1078,,,,10/12/21,,,12,70,KL,,,1078,,,,19,9/23/21,0.83917644,1,
1131,,,,10/12/21,,,12,70,KL,,,1131,,,,21,9/21/21,0.020059296,1,
1130,,,,10/12/21,,,12,70,KL,,,1130,,,,18,9/24/21,0.017129375,1,
1007,,,,10/12/21,,,12,70,KL,,,1007,,,,19,9/23/21,0.495208365,1,
,,,,,,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1010,,,,10/13/21,,,28,70,KL,,,1010,,,,22,9/21/21,0.855456539,1,
1074,,,,10/13/21,,,28,70,KL,,,1074,,,,20,9/23/21,0.602240532,1,
1139,,,,10/13/21,,,28,70,KL,,,1139,,,,19,9/24/21,0.964240317,1,
1451,,,,10/13/21,,,28,70,PK,,,1451,,,,19,9/24/21,0.713000679,1,
1129,,,,10/13/21,,,28,70,KL,,,1129,,,,20,9/23/21,0.349522632,1,
1127,,,,10/13/21,,,28,70,KL,,,1127,,,,22,9/21/21,0.334049357,1,
1134,,,,10/13/21,,,28,70,KL,,,1134,,,,20,9/23/21,0.068621101,1,
1026,,,,10/13/21,,,28,70,KL,,,1026,,,,20,9/23/21,0.71145757,1,
1075,,,,10/13/21,,,28,70,KL,,,1075,,,,22,9/21/21,0.819540698,1,
1072,,,,10/13/21,,,28,70,KL,,,1072,,,,20,9/23/21,0.926169219,1,
1300,,,,10/13/21,,,28,70,KL,,,1300,,,,19,9/24/21,0.854987388,1,
1011,,,,10/13/21,,,28,70,KL,,,1011,,,,22,9/21/21,0.94703751,1,
1022,,,,10/13/21,,,28,70,KL,,,1022,,,,21,9/22/21,0.514289021,1,
1064,,,,10/13/21,,,28,70,KL,,,1064,,,,20,9/23/21,0.015920721,1,
1077,,,,10/13/21,,,28,70,KL,,,1077,,,,19,9/24/21,0.522400269,1,
1142,,,,10/13/21,,,28,70,PK,,,1142,,,,19,9/24/21,0.980293471,1,
1019,,,,10/13/21,,,28,70,KL,,,1019,,,,21,9/22/21,0.222763196,1,
1143,,,,10/13/21,,,28,70,PK,,,1143,,,,22,9/21/21,0.709829385,1,
1204,,,,10/13/21,,,28,70,KL,,,1204,,,,20,9/23/21,0.218932729,1,
1145,,,,10/13/21,,,28,70,PK,,,1145,,,,22,9/21/21,0.071169825,1,
1058,,,,10/13/21,,,28,70,KL,,,1058,,,,22,9/21/21,0.115487685,1,
1397,,,,10/13/21,,,28,70,PK,,,1397,,,,19,9/24/21,0.654840353,1,
1065,,,,10/13/21,,,28,70,KL,,,1065,,,,21,9/22/21,0.199432608,1,
1086,,,,10/13/21,,,28,70,KL,,,1086,,,,19,9/24/21,0.966704788,1,
1390,,,,10/13/21,,,28,70,PK,,,1390,,,,19,9/24/21,0.167145161,1,
1071,,,,10/13/21,,,28,70,KL,,,1071,,,,21,9/22/21,0.951865342,1,
1076,,,,10/13/21,,,28,70,KL,,,1076,,,,22,9/21/21,0.026897402,1,
1136,,,,10/13/21,,,28,70,KL,,,1136,,,,22,9/21/21,0.991810285,1,
1335,,,,10/13/21,,,28,70,KL,,,1335,,,,19,9/24/21,0.933575234,1,
1133,,,,10/13/21,,,28,70,KL,,,1133,,,,22,9/21/21,0.286168836,1,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES,test_age,wing_date,randomizer,Cohort,
1092,,,,10/14/21,,,20,70,KL,,,1092,,,,17,9/27/21,0.311557454,2,
1308,,,,10/14/21,,,20,70,KL,,,1308,,,,19,9/25/21,0.340075606,2,
1272,,,,10/14/21,,,20,70,KL,,,1272,,,,17,9/27/21,0.000312092,2,
1046,,,,10/14/21,,,20,70,KL,,,1046,,,,17,9/27/21,0.465696616,2,
1053,,,,10/14/21,,,20,70,KL,,,1053,,,,18,9/26/21,0.08964353,2,
1373,,,,10/14/21,,,20,70,KL,,,1373,,,,18,9/26/21,0.899511778,2,
1265,,,,10/14/21,,,20,70,KL,,,1265,,,,19,9/25/21,0.705760715,2,
