"","ID","died.","chamber","set_number","test_date","time_start","time_end","temp","RH","pop","flew","flight_type","ID.1","mass","EWM","NOTES","next_day"
"2","1024","","A-1","001","10/12/21","11:00","11:37","12","70","KL","Y","CB","1024","0.054","N","arm friction and misplacement ",""
"3","1090","","A-2","001","10/12/21","11:00","11:38","12","70","KL","Y","B","1090","0.043","N","",""
"4","114","","A-3","001","10/12/21","11:01","11:38","12","70","PK","Y","CB","114","0.037","N","",""
"5","1146","","A-4","001","10/12/21","11:01","11:38","12","70","PK","Y","CB","1146","0.043","N","",""
"6","1235","","B-1","001","10/12/21","11:02","11:39","12","70","KL","Y","B","1235","0.084","Y","",""
"7","1009","","B-2","001","10/12/21","11:02","11:39","12","70","KL","Y","B","1009","0.056","N","",""
"8","1084","","B-3","001","10/12/21","11:03","11:39","12","70","KL","Y","CB","1084","0.048","N","",""
"10","1141","","B-4","001","10/12/21","11:04","11:40","12","70","KL","N","","1141","0.132","Y","",""
"12","1128","","C-1","001","10/12/21","11:08","11:49","12","70","KL","Y","B","1128","0.037","N","",""
"16","1147","","C-2","001","10/12/21","11:09","11:49","12","70","PK","Y","BC","1147","0.040","N","arm friction and misplacement ",""
"17","1003","","C-3","001","10/12/21","11:10","11:49","12","70","KL","Y","B","1003","0.043","N","",""
"22","1042","","C-4","001","10/12/21","11:11","11:49","12","70","KL","Y","B","1042","0.044","N","",""
"23","1017","","D-1","001","10/12/21","11:12","11:50","12","70","KL","Y","B","1017","0.125","Y","",""
"25","1081","","D-2","001","10/12/21","11:13","11:50","12","70","KL","Y","B","1081","0.054","N","",""
"26","1078","","D-3","001","10/12/21","11:14","11:50","12","70","KL","Y","B","1078","0.108","N","",""
"27","1131","","D-4","001","10/12/21","11:15","11:50","12","70","KL","Y","BC","1131","0.047","N","",""
"29","1007","","A-1","001","10/12/21","11:43","12:14","12","70","KL","Y","C","1007","0.039","N","arm friction and misplacement ",""
"31","1010","","A-1","002","10/13/21","11:58","12:37","28","70","KL","Y","B","1010","0.042","N","",""
"33","1139","","A-2","002","10/13/21","11:59","12:37","28","70","KL","N","","1139","0.108","Y","",""
"36","1127","","A-3","002","10/13/21","12:00","9:23","28","70","KL","Y","C","1127","0.044","N","","Y"
"37","1134","","A-4","002","10/13/21","12:01","12:38","28","70","KL","N","","1134","0.042","N","",""
"38","1026","","B-1","002","10/13/21","12:01","12:38","28","70","KL","Y","B","1026","0.086","Y","",""
"41","1300","","B-3","002","10/13/21","12:04","12:38","28","70","KL","Y","B","1300","0.050","N","",""
"42","1011","","B-4","002","10/13/21","12:04","13:03","28","70","KL","Y","C","1011","0.084","Y","",""
"44","1064","","C-1","002","10/13/21","12:20","13:01","28","70","KL","Y","B","1064","0.114","Y","",""
"45","1077","","C-2","002","10/13/21","12:21","13:02","28","70","KL","Y","B","1077","0.044","N","",""
"46","1142","","C-3","002","10/13/21","12:22","13:42","28","70","PK","Y","C","1142","0.047","N","not registering recording; fixed 13:02",""
"48","1143","","C-4","002","10/13/21","12:23","13:02","28","70","PK","Y","B","1143","0.060","N","",""
"50","1145","","D-1","002","10/13/21","12:24","13:02","28","70","PK","Y","B","1145","0.094","Y","",""
"51","1058","","D-2","002","10/13/21","12:24","13:42","28","70","KL","Y","C","1058","0.098","Y","",""
"52","1397","","D-3","002","10/13/21","12:25","13:02","28","70","PK","Y","B","1397","0.050","N","",""
"53","1065","","D-4","002","10/13/21","12:26","13:18","28","70","KL","Y","BC","1065","0.046","N","",""
"54","1086","","A-1","002","10/13/21","12:40","13:15","28","70","KL","Y","B","1086","0.032","N","",""
"57","1076","","A-2","002","10/13/21","12:41","9:23","28","70","KL","Y","C","1076","0.050","N","","Y"
"59","1335","","A-4","002","10/13/21","12:42","13:15","28","70","KL","Y","B","1335","0.035","N","",""
"62","1105","","A-1","003","10/14/21","10:10","10:42","20","70","KL","N","","1105","0.107","Y","",""
"63","1416","","A-2","003","10/14/21","10:11","13:11","20","70","PK","Y","C","1416","0.053","N","",""
"64","1118","","A-3","003","10/14/21","10:12","10:42","20","70","KL","N","","1118","0.104","Y","",""
"67","1122","","A-4","003","10/14/21","10:12","10:42","20","70","KL","Y","B","1122","0.037","N","",""
"68","1296","","B-1","003","10/14/21","10:13","10:43","20","70","KL","Y","B","1296","0.089","Y","",""
"70","1305","","B-2","003","10/14/21","10:14","10:58","20","70","KL","Y","BC","1305","0.043","N","",""
"71","1140","","B-3","003","10/14/21","10:15","13:49","20","70","KL","Y","BC","1140","0.038","N","",""
"72","1206","","B-4","003","10/14/21","10:15","11:04","20","70","KL","Y","C","1206","0.088","Y","",""
"73","1047","","C-1","003","10/14/21","10:16","10:49","20","70","KL","N","","1047","0.032","N","",""
"74","1403","","C-2","003","10/14/21","10:17","10:49","20","70","PK","Y","B","1403","0.041","N","",""
"75","1255","","C-3","003","10/14/21","10:18","10:49","20","70","KL","Y","B","1255","0.112","Y","",""
"76","1168","","C-4","003","10/14/21","10:19","10:49","20","70","PK","N","","1168","0.113","Y","",""
"77","1087","","D-1","003","10/14/21","10:20","10:52","20","70","KL","Y","B","1087","0.035","N","",""
"78","1293","","D-2","003","10/14/21","10:20","10:52","20","70","KL","Y","B","1293","0.033","N","",""
"79","1120","","D-3","003","10/14/21","10:21","10:52","20","70","KL","Y","B","1120","0.050","N","",""
"80","1114","","D-4","003","10/14/21","10:22","10:52","20","70","KL","Y","B","1114","0.052","N","",""
"81","1161","","A-1","003","10/14/21","10:44","11:16","20","70","PK","N","","1161","0.118","Y","",""
"82","1382","","A-3","003","10/14/21","10:45","11:16","20","70","KL","N","","1382","0.041","N","",""
"83","1437","","A-4","003","10/14/21","10:46","11:16","20","70","PK","N","","1437","0.114","Y","",""
"84","1046","","B-1","003","10/14/21","10:47","11:17","20","70","KL","Y","B","1046","0.084","N","",""
"85","1039","","C-1","003","10/14/21","10:51","11:24","20","70","KL","Y","B","1039","0.037","N","",""
"87","1344","","C-2","003","10/14/21","10:52","11:24","20","70","KL","Y","B","1344","0.045","N","",""
"88","1053","","C-3","003","10/14/21","10:53","12:06","20","70","KL","Y","BC","1053","0.043","N","",""
"89","1108","","C-4","003","10/14/21","10:54","11:24","20","70","KL","Y","B","1108","0.047","N","",""
"90","1262","","D-1","003","10/14/21","10:55","11:27","20","70","KL","N","","1262","0.095","Y","",""
"91","1013","","D-2","003","10/14/21","10:56","11:27","20","70","KL","N","","1013","0.099","Y","",""
"92","1075","","D-3","003","10/14/21","10:57","11:27","20","70","PK","Y","B","1075","0.034","N","",""
"94","1169","","A-1","004","10/15/21","9:49","10:22","40","70","PK","Y","B","1169","0.114","Y","",""
"95","1121","","A-2","004","10/15/21","9:50","11:46","40","70","KL","Y","C","1121","0.102","Y","",""
"96","1030","","A-3","004","10/15/21","9:51","10:22","40","70","KL","N","","1030","0.098","Y","",""
"97","1104","","A-4","004","10/15/21","9:52","10:22","40","70","KL","Y","B","1104","0.052","N","",""
"98","1433","","B-1","004","10/15/21","9:53","11:46","40","70","PK","Y","BC","1433","0.062","N","",""
"100","1283","","B-2","004","10/15/21","9:53","10:27","40","70","KL","Y","B","1283","0.066","N","",""
"101","1020","","B-3","004","10/15/21","9:56","10:27","40","70","L","Y","B","1020","0.058","N","",""
"102","1231","","B-4","004","10/15/21","9:57","11:46","40","70","KL","Y","C","1231","0.057","N","",""
"103","1049","","C-1","004","10/15/21","9:58","10:31","40","70","KL","Y","B","1049","0.088","Y","",""
"104","1203","","C-2","004","10/15/21","9:59","10:31","40","70","KL","Y","B","1203","0.129","Y","",""
"105","1339","","C-3","004","10/15/21","10:00","10:31","40","70","KL","Y","B","1339","0.056","N","",""
"106","1307","","C-4","004","10/15/21","10:01","10:38","40","70","KL","Y","C","1307","0.055","N","",""
"107","1029","","D-1","004","10/15/21","10:01","10:32","40","70","KL","Y","B","1029","0.044","N","",""
"108","1256","","D-2","004","10/15/21","10:02","10:32","40","70","KL","Y","B","1256","0.049","N","",""
"109","1405","","D-3","004","10/15/21","10:02","10:32","40","70","PK","Y","B","1405","0.052","N","",""
"111","1244","","D-4","004","10/15/21","10:02","10:32","40","70","KL","Y","B","1244","0.119","Y","",""
"112","1269","","A-1","004","10/15/21","10:25","10:57","40","70","KL","N","","1269","0.129","Y","",""
"114","1268","","A-3","004","10/15/21","10:26","11:46","40","70","KL","Y","C","1268","0.075","N","",""
"115","1123","","A-4","004","10/15/21","10:27","11:46","40","70","KL","Y","C","1123","0.119","Y","",""
"118","1117","","B-2","004","10/15/21","10:29","11:00","40","70","KL","Y","B","1117","0.048","N","",""
"119","1234","","B-3","004","10/15/21","10:30","11:00","40","70","KL","Y","B","1234","0.050","N","",""
"120","1395","","C-1","004","10/15/21","10:35","11:06","40","70","PK","Y","B","1395","0.081","Y","",""
"121","1400","","C-2","004","10/15/21","10:36","11:06","40","70","PK","Y","B","1400","0.055","N","",""
"124","1215","","A-1","005","10/19/21","9:25","9:58","36","70","KL","Y","B","1215","0.041","N","",""
"126","1356","","A-2","005","10/19/21","9:26","10:07","36","70","KL","Y","C","1356","0.105","Y","",""
"127","1560","","A-3","005","10/19/21","9:27","10:13","36","70","PK","Y","C","1560","0.042","N","",""
"128","1318","","A-4","005","10/19/21","9:28","9:58","36","70","KL","Y","B","1318","0.039","N","",""
"129","1016","","B-1","005","10/19/21","9:29","10:00","36","70","KL","N","","1016","0.078","N","",""
"130","1208","","B-2","005","10/19/21","9:30","10:00","36","70","KL","Y","B","1208","0.115","Y","",""
"131","1225","","B-3","005","10/19/21","9:31","11:05","36","70","KL","Y","C","1225","0.127","Y","",""
"133","1212","","B-4","005","10/19/21","9:33","14:01","36","70","KL","Y","C","1212","0.098","Y","",""
"135","1314","","C-1","005","10/19/21","9:35","10:07","36","70","KL","N","","1314","0.087","Y","",""
"136","1218","","C-2","005","10/19/21","9:36","14:01","36","70","KL","Y","BC","1218","0.047","N","",""
"137","1411","","C-3","005","10/19/21","9:37","10:07","36","70","PK","Y","B","1411","0.033","N","",""
"138","1353","","C-4","005","10/19/21","9:38","10:13","36","70","KL","Y","C","1353","0.081","Y","",""
"139","1211","","D-1","005","10/19/21","9:39","10:12","36","70","KL","Y","B","1211","0.028","N","",""
"140","1210","","D-2","005","10/19/21","9:40","11:05","36","70","KL","Y","C","1210","0.035","N","",""
"141","1478","","D-3","005","10/19/21","9:41","10:12","36","70","PK","Y","B","1478","0.046","N","",""
"142","1468","","D-4","005","10/19/21","9:42","10:12","36","70","PK","Y","B","1468","0.037","N","antenna painted",""
"143","1428","","A-1","005","10/19/21","10:00","10:33","36","70","PK","Y","B","1428","0.049","N","antenna painted",""
"144","1274","","A-4","005","10/19/21","10:01","10:33","36","70","KL","Y","C","1274","0.081","Y","",""
"145","1517","","B-1","005","10/19/21","10:02","10:33","36","70","PK","N","","1517","0.040","N","",""
"147","1322","","B-2","005","10/19/21","10:03","10:33","36","70","KL","N","","1322","0.038","N","",""
"149","1398","","A-1","006","10/20/21","9:28","10:01","20","70","PK","Y","B","1398","0.046","N","",""
"150","1291","","A-2","006","10/20/21","9:29","10:01","20","70","KL","Y","B","1291","0.097","Y","",""
"151","1552","","A-3","006","10/20/21","9:30","12:08","20","70","PK","Y","BC","1552","0.051","N","",""
"152","1312","","A-4","006","10/20/21","9:31","13:45","20","70","KL","Y","C","1312","0.058","N","",""
"153","1227","","B-1","006","10/20/21","9:31","10:04","20","70","KL","Y","B","1227","0.052","N","",""
"154","1055","","B-2","006","10/20/21","9:32","10:04","20","70","KL","Y","BC","1055","0.089","Y","",""
"155","1352","","B-3","006","10/20/21","9:33","10:04","20","70","KL","Y","B","1352","0.042","N","",""
"156","1214","","B-4","006","10/20/21","9:34","13:45","20","70","KL","Y","C","1214","0.080","Y","",""
"158","1233","","C-1","006","10/20/21","9:34","10:07","20","70","KL","Y","B","1233","0.094","N","",""
"159","1249","","C-2","006","10/20/21","9:35","10:29","20","70","KL","Y","C","1249","0.045","N","",""
"160","1360","","C-3","006","10/20/21","9:36","10:07","20","70","KL","N","","1360","0.024","N","",""
"161","1159","","C-4","006","10/20/21","9:37","10:07","20","70","PK","Y","B","1159","0.036","N","",""
"163","1302","","D-1","006","10/20/21","9:37","10:10","20","70","KL","Y","B","1302","0.034","N","",""
"164","1548","","D-2","006","10/20/21","9:38","10:10","20","70","PK","N","","1548","0.077","Y","",""
"165","1240","","D-3","006","10/20/21","9:39","12:08","20","70","KL","Y","C","1240","0.046","N","",""
"166","1113","","D-4","006","10/20/21","9:40","10:10","20","70","KL","N","","1113","0.066","Y","",""
"167","1287","","A-1","006","10/20/21","10:04","10:35","20","70","KL","Y","B","1287","0.045","N","",""
"168","1386","","A-2","006","10/20/21","10:05","10:35","20","70","KL","Y","B","1386","0.047","N","",""
"169","1219","","B-1","006","10/20/21","10:06","10:38","20","70","KL","Y","B","1219","0.036","N","",""
"170","1109","","B-2","006","10/20/21","10:07","12:08","20","70","KL","Y","C","1109","0.069","N","",""
"171","1319","","B-3","006","10/20/21","10:08","10:38","20","70","KL","Y","B","1319","0.042","N","",""
"172","1060","","C-1","006","10/20/21","10:10","10:42","20","70","KL","N","","1060","0.035","N","",""
"173","1273","","C-3","006","10/20/21","10:11","10:42","20","70","KL","Y","B","1273","0.043","N","",""
"174","1005","","C-4","006","10/20/21","10:12","10:42","20","70","KL","Y","B","1005","0.027","N","",""
"175","1546","","D-1","006","10/20/21","10:13","10:45","20","70","PK","Y","B","1546","0.115","Y","",""
"176","1401","","D-2","006","10/20/21","10:14","10:45","20","70","PK","Y","B","1401","0.085","Y","",""
"177","1285","","D-4","006","10/20/21","10:15","10:45","20","70","KL","Y","B","1285","0.046","N","",""
"178","1288","","A-1","006","10/20/21","10:36","11:06","20","70","KL","Y","B","1288","0.084","Y","",""
"179","1289","","A-2","006","10/20/21","10:37","15:38","20","70","KL","Y","BC","1289","0.077","Y","",""
"180","1223","","B-1","006","10/20/21","10:38","13:45","20","70","KL","Y","BC","1223","0.044","N","",""
"182","1125","","A-1","007","10/21/21","9:15","9:45","28","70","KL","Y","B","1125","0.039","N","",""
"183","1529","","A-2","007","10/21/21","9:16","15:00","28","70","PK","Y","C","1529","0.043","N","",""
