ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
144,set002-2-18-2020-A2_144.txt,T1,A-2,A,2,02,0.23,34207.8,6957.79,104.95,19722.19,0.79,43199.99,0.46
100,set002-2-18-2020-A3_100.txt,T1,A-3,A,3,02,0.31,711.39,23.25,78.74,628.28,0.32,2220.83,0.45
17,set002-2-18-2020-A3_17.txt,T1,A-3,A,3,02,0.28,18574.34,5212.38,0,18574.34,1.0,18595.27,0.38
190,set002-2-18-2020-A3_190.txt,T1,A-3,A,3,02,0,0,0.63,0,0,0,2081.83,0
228,set002-2-18-2020-A3_228.txt,T1,A-3,A,3,02,0.23,15968.93,3664.87,0,15968.93,0.89,17966.47,0.41
4,set002-2-18-2020-A3_4.txt,T1,A-3,A,3,02,0.2,607.42,5.65,0,599.11,0.26,2335.55,0.29
122,set002-2-18-2020-A4_122.txt,T1,A-4,A,4,02,0.32,1302.78,11.31,0,730.25,0.09,14914.83,0.39
130,set002-2-18-2020-A4_130.txt,T1,A-4,A,4,02,0.42,27391.98,11170.55,0,27391.98,0.97,28285.15,0.62
19,set002-2-18-2020-B1_19.txt,T1,B-1,B,1,02,0.4,35039.86,13903.02,0,35036.34,0.93,37789.75,0.62
32,set002-2-18-2020-B1_32.txt,T1,B-1,B,1,02,0.37,2390.88,835.64,0,2376.03,0.44,5410.23,0.6
15,set002-2-18-2020-B2_15.txt,T1,B-2,B,2,02,0.27,75.03,10.68,0,53.44,0.02,3102.51,0.36
164,set002-2-18-2020-B2_164.txt,T1,B-2,B,2,02,0.2,28935.42,5810.52,63.47,28593.62,0.77,37726.39,0.59
329,set002-2-18-2020-B2_329.txt,T1,B-2,B,2,02,1.06,0,1.88,0,0,0,2371.07,0
106,set002-2-18-2020-B3_106.txt,T1,B-3,B,3,02,0,0,1.26,0,0,0,2111.67,0
147,set002-2-18-2020-B3_147.txt,T1,B-3,B,3,02,0.3,690.3,6.91,0,646.27,0.29,2389.27,0.32
219,set002-2-18-2020-B3_219.txt,T1,B-3,B,3,02,0.32,1293.33,3.14,0,1285.05,0.41,3143.91,0.42
270,set002-2-18-2020-B3_270.txt,T1,B-3,B,3,02,0.25,2472.21,593.12,0,2472.21,0.66,3744.19,0.57
431,set002-2-18-2020-B3_431.txt,T1,B-3,B,3,02,0.23,17464.58,3931.9,0,17464.58,0.98,17790.99,0.42
442,set002-2-18-2020-B3_442.txt,T1,B-3,B,3,02,0.27,15.47,5.03,0,9.9,0.0,14019.91,0.41
14,set002-2-18-2020-B4_14.txt,T1,B-4,B,4,02,0,0,0,0,0,0,13968.75,0
264,set002-2-18-2020-B4_264.txt,T1,B-4,B,4,02,0.23,27294.44,5838.16,0,26128.89,0.93,29231.23,0.36
160,set003-2-19-2020-A2_160.txt,T1,A-2,A,2,03,0,0,0,0,0,0,2109.39,0
238,set003-2-19-2020-A2_238.txt,T1,A-2,A,2,03,0,0,0,0,0,0,2043.11,0
27,set003-2-19-2020-A2_27.txt,T1,A-2,A,2,03,0,0,0,0,0,0,1858.95,0
295,set003-2-19-2020-A2_295.txt,T1,A-2,A,2,03,0.29,11423.82,3189.88,0,8932.38,0.86,13325.27,0.45
322,set003-2-19-2020-A2_322.txt,T1,A-2,A,2,03,0.4,7535.68,2886.41,0,7535.68,0.12,60789.67,0.59
441,set003-2-19-2020-A2_441.txt,T1,A-2,A,2,03,0.44,4296.05,1882.39,0,4296.05,0.96,4473.55,0.59
142,set003-2-19-2020-A3_142.txt,T1,A-3,A,3,03,0.21,19858.54,3975.25,0,19858.54,0.94,21078.79,0.6
204,set003-2-19-2020-A3_204.txt,T1,A-3,A,3,03,0.4,7.75,3.77,0,7.75,0.0,2223.95,0.46
227,set003-2-19-2020-A3_227.txt,T1,A-3,A,3,03,0,0,0,0,0,0,55412.71,0
292,set003-2-19-2020-A3_292.txt,T1,A-3,A,3,03,0,0,0.63,0,0,0,1723.91,0
443,set003-2-19-2020-A3_443.txt,T1,A-3,A,3,03,0.31,3261.14,970.1,0,3230.8,0.78,4160.59,0.46
109,set003-2-19-2020-A4_109.txt,T1,A-4,A,4,03,0,0,0,0,0,0,2056.39,0
11,set003-2-19-2020-A4_11.txt,T1,A-4,A,4,03,0.29,2504.78,666.0,0,2504.78,0.67,3726.23,0.45
12,set003-2-19-2020-A4_12.txt,T1,A-4,A,4,03,0.3,7346.7,2168.89,0,7346.7,0.87,8490.31,0.47
123,set003-2-19-2020-A4_123.txt,T1,A-4,A,4,03,0.29,1369.07,8.17,0,764.44,0.62,2224.91,0.37
196,set003-2-19-2020-A4_196.txt,T1,A-4,A,4,03,0.3,1018.51,57.18,179.4,839.11,0.34,2971.71,0.47
33,set003-2-19-2020-A4_33.txt,T1,A-4,A,4,03,0.23,23288.83,5319.19,0,23288.83,0.4,58888.03,0.69
401,set003-2-19-2020-A4_401.txt,T1,A-4,A,4,03,0,0,0,0,0,0,2074.47,0
444,set003-2-19-2020-A4_444.txt,T1,A-4,A,4,03,0.17,2708.17,448.61,0,2112.74,0.65,4167.87,0.24
