gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,wing_date
1109,114,8.19.21,8.29.21,10.01.21,,KL,F,N,Y,,10/01/21
1225,114,8.25.21,9.1.21,10.01.21,,KL,F,N,Y,,10/01/21
1227,114,8.25.21,9.2.21,10.01.21,,KL,M,N,Y,,10/01/21
1288,16,8.27.21,9.2.21,10.01.21,,KL,F,N,Y,,10/01/21
1302,16,8.27.21,8.31.21,10.01.21,,KL,M,N,Y,,10/01/21
1468,329,8.27.21,9.9.21,10.01.21,,PK,M,N,Y,,10/01/21
1478,329,8.27.21,8.31.21,10.01.21,,PK,M,N,Y,,10/01/21
1517,329,8.31.21,9.9.21,10.01.21,,PK,M,N,Y,,10/01/21
1546,329,9.8.21,9.8.21,10.01.21,,PK,F,N,Y,,10/01/21
1560,16,9.8.21,9.8.21,10.01.21,,KL,M,N,Y,,10/01/21
1111,114,8.19.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,10/04/21
1125,114,8.19.21,8.29.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1236,114,8.25.21,9.1.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1237,114,8.25.21,,10.04.21,,KL,M,N,,10.2-10.4,10/04/21
1252,114,8.25.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,10/04/21
1260,16,8.27.21,8.30.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1284,16,8.27.21,8.31.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1292,16,8.27.21,8.30.21,10.04.21,,KL,M,N,Y,,10/04/21
1315,16,8.27.21,9.1.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1383,119,8.27.21,9.9.21,10.04.21,,KL,F,N,Y,10.2-10.4,10/04/21
1415,329,8.27.21,9.9.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1421,329,8.27.21,9.9.21,10.04.21,,PK,F,N,Y,10.2-10.4,10/04/21
1430,329,8.27.21,9.9.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1447,329,8.27.21,9.9.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1457,329,8.27.21,9.9.21,10.04.21,,PK,M,N,Y,,10/04/21
1461,329,8.27.21,9.9.21,10.04.21,,PK,F,N,Y,10.2-10.4,10/04/21
1469,329,8.27.21,9.9.21,10.04.21,,PK,F,N,Y,10.2-10.4,10/04/21
1489,329,8.27.21,9.9.21,10.04.21,,PK,F,N,,10.2-10.4,10/04/21
1529,329,8.31.21,9.9.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1530,329,8.31.21,9.9.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1551,329,9.8.21,9.8.21,10.04.21,,PK,F,N,Y,10.2-10.4,10/04/21
1554,329,9.8.21,9.8.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1555,329,9.8.21,9.8.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1563,16,9.8.21,9.8.21,10.04.21,,KL,F,N,Y,10.2-10.4,10/04/21
1564,16,9.8.21,9.8.21,10.04.21,,KL,M,N,Y,10.2-10.4,10/04/21
1585,329,9.10.21,9.10.21,10.04.21,,PK,M,N,Y,,10/04/21
1591,329,9.10.21,9.10.21,10.04.21,,PK,F,N,Y,10.2-10.4,10/04/21
1598,329,9.10.21,9.10.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1603,329,9.10.21,9.10.21,10.04.21,,PK,M,N,Y,,10/04/21
1622,329,9.10.21,9.12.21,10.04.21,,PK,M,N,Y,,10/04/21
1646,329,9.10.21,9.12.21,10.04.21,,PK,M,N,Y,10.2-10.4,10/04/21
1425,329,8.27.21,9.9.21,10.05.21,,PK,M,N,Y,,10/05/21
1544.5,114,9.8.21,9.8.21,10.05.21,,KL,M,N,Y,,10/05/21
1560.5,16,9.8.21,9.8.21,10.05.21,,KL,M,N,,,10/05/21
1587,329,9.10.21,9.10.21,10.05.21,,PK,F,N,Y,,10/05/21
1365,118,8.19.21,9.9.21,10.06.21,,KL,M,N,Y,,10/06/21
1596,329,9.10.21,9.10.21,10.06.21,,PK,M,N,Y,,10/06/21
1677,329,9.10.21,9.12.21,10.06.21,,PK,M,N,Y,,10/06/21
1681,329,9.10.21,9.12.21,10.06.21,,PK,M,N,Y,,10/06/21
1459,329,8.27.21,9.9.21,10.07.21,,PK,F,N,Y,,10/07/21
1495,9,8.27.21,9.9.21,10.07.21,,PK,F,N,Y,,10/07/21
1544,114,9.8.21,9.8.21,10.07.21,,KL,F,N,Y,,10/07/21
1553,329,9.8.21,9.8.21,10.07.21,,PK,M,N,Y,,10/07/21
1557.5,16,9.8.21,9.8.21,10.07.21,,KL,M,N,Y,,10/07/21
1570,114,9.10.21,9.10.21,10.07.21,,KL,F,N,Y,,10/07/21
1604,329,9.10.21,9.15.21,10.07.21,,PK,M,N,Y,,10/07/21
1676,329,9.10.21,9.12.21,10.07.21,,PK,M,N,Y,,10/07/21
1688,16,9.10.21,9.12.21,10.07.21,,KL,M,N,Y,,10/07/21
1586,329,9.10.21,9.10.21,10.08.21,,PK,M,N,Y,,10/08/21
1616,329,9.10.21,9.12.21,10.08.21,,PK,F,N,Y,,10/08/21
1620,329,9.10.21,9.12.21,10.08.21,,PK,M,N,Y,,10/08/21
1682,329,9.10.21,9.12.21,10.08.21,,PK,F,N,Y,,10/08/21
1384,119,8.27.21,9.9.21,10.11.21,,KL,M,N,Y,10.9-10.11,10/11/21
1589,329,9.10.21,9.10.21,10.11.21,,PK,M,N,Y,10.9-10.11,10/11/21
1594,329,9.10.21,9.10.21,10.11.21,,PK,M,N,Y,10.9-10.11,10/11/21
1606,329,9.10.21,9.12.21,10.11.21,,PK,M,N,Y,10.9-10.11,10/11/21
1607,329,9.10.21,9.15.21,10.11.21,,PK,F,N,Y,10.9-10.11,10/11/21
1609,329,9.10.21,9.15.21,10.11.21,,PK,F,N,Y,,10/11/21
1645,329,9.10.21,9.15.21,10.11.21,,PK,M,N,Y,,10/11/21
1655,329,9.10.21,,10.11.21,,PK,F,N,,10.9-10.11,10/11/21
