gen1_ID,MID,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,test_date,test_temp,test_age,rand
1001,114,8.20.21,,9.11.21,KL,,,Y,,,,0.22167751
1002,114,8.20.21,,9.11.21,KL,,,Y,,,,0.918412926
1003,114,8.20.21,9.22.21,,KL,M,N,Y,9/22/21,,,0.584729391
1004,114,,,9.1.21,KL,,,Y,,,,0.555730892
1005,114,8.20.21,9.29.21,,KL,M,N,Y,9/29/21,,,0.206891472
1006,114,,,8.24.21,KL,,,Y,,,,0.195121713
1007,114,8.20.21,9.23.21,,KL,M,N,Y,9/23/21,,,0.153205483
1008,114,8.20.21,,,KL,,,Y,,,,0.577705961
1009,114,8.20.21,9.22.21,,KL,M,N,Y,9/22/21,,,0.958175618
1010,114,8.26.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.006955837
1011,114,8.20.21,9.21.21,,KL,F,N,Y,9/21/21,,,0.344921076
1012,114,,,9.1.21,KL,,,Y,,,,0.043728666
1013,114,8.26.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.178152117
1014,114,8.20.21,,9.11.21,KL,,,Y,,,,0.745203223
1015,114,8.20.21,9.21.21,10.08.21,KL,M,N,Y,9/21/21,,,0.752842948
1016,114,8.26.21,9.28.21,,KL,F,N,Y,9/28/21,,,0.125701265
1017,114,8.20.21,9.21.21,,KL,F,N,Y,9/21/21,,,0.272128445
1018,114,,,,KL,,,N,,,,0.587627163
1019,114,8.26.21,9.22.21,,KL,M,Y,Y,9/22/21,,,0.427570722
1020,114,8.29.21,9.26.21,,KL,M,N,Y,9/26/21,,,0.075044759
1021,119,8.29.21,,,KL,,,N,,,,0.970188199
1022,119,8.29.21,9.22.21,,KL,F,Y,Y,9/22/21,,,0.425674602
1023,119,8.29.21,9.25.21,,KL,F,Y,Y,9/25/21,,,0.700134587
1024,119,8.29.21,9.23.21,,KL,M,N,Y,9/23/21,,,0.225153251
1025,119,8.29.21,,9.11.21,KL,,,Y,,,,0.257991932
1026,119,8.29.21,9.23.21,,KL,F,N,Y,9/23/21,,,0.288852412
1027,119,8.29.21,9.22.21,,KL,F,Y,Y,9/22/21,,,0.145113736
1028,119,,,9.1.21,KL,,,Y,,,,0.072710392
1029,119,8.29.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.082077303
1030,119,8.29.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.888143419
1031,119,8.29.21,,9.11.21,KL,,,Y,,,,0.795364563
1032,16,8.29.21,9.24.21,,KL,F,Y,Y,9/24/21,,,0.880781687
1033,16,8.27.21,,9.11.21,KL,,,Y,,,,0.743033698
1034,16,,,9.1.21,KL,,,Y,,,,0.17488928
1035,16,8.20.21,9.27.21,,KL,F,N,Y,9/27/21,,,0.041107161
1036,16,8.29.21,9.27.21,10.08.21,KL,F,N,Y,9/27/21,,,0.737619195
1037,16,8.29.21,9.24.21,,KL,M,Y,Y,9/24/21,,,0.534638318
1038,16,8.27.21,9.27.21,,KL,M,Y,Y,9/27/21,,,0.386914978
1039,16,8.20.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.679466182
1040,16,8.27.21,9.22.21,,KL,F,Y,Y,9/22/21,,,0.904208479
1041,16,8.20.21,9.26.21,,KL,F,Y,Y,9/26/21,,,0.073811629
1042,16,8.27.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.649422183
1043,16,8.20.21,,9.21.21,KL,,,Y,,,,0.556245006
1044,16,,,9.1.21,KL,,,Y,,,,0.655587985
1045,16,,,8.30.21,KL,,,Y,,,,0.831874659
1046,16,8.29.21,9.27.21,,KL,F,N,Y,9/27/21,,,0.622128735
1047,16,8.20.21,9.25.21,,KL,M,N,Y,9/25/21,,,0.960577995
1048,16,8.27.21,9.26.21,,KL,F,N,Y,9/26/21,,,0.973851669
1049,16,8.27.21,9.25.21,,KL,F,N,Y,9/25/21,,,0.866691588
1050,16,8.27.21,,,KL,,,Y,,,,0.194637376
1051,16,8.27.21,9.25.21,9.21.21,KL,F,Y,Y,9/25/21,,,0.409547344
1052,16,hatch_date,,9.11.21,KL,,,Y,,,,0.078862977
1053,16,8.27.21,9.26.21,,KL,M,N,Y,9/26/21,,,0.464526658
1054,16,8.29.21,,8.30.21,KL,,,Y,,,,0.845174887
1055,16,,9.29.21,,KL,F,N,Y,9/29/21,,,0.973070122
1056,16,8.29.21,9.26.21,,KL,F,Y,Y,9/26/21,,,0.469946987
1057,16,8.29.21,10.04.21,,KL,F,Y,Y,10/04/21,,,0.1560372
1058,16,8.29.21,9.21.21,,KL,,,Y,9/21/21,,,0.036215893
1059,16,,,8.30.21,KL,,,Y,,,,0.37929959
1060,16,,9.29.21,,KL,M,N,Y,9/29/21,,,0.933561661
1061,16,8.27.21,9.26.21,,KL,F,Y,Y,9/26/21,,,0.796635186
1062,16,8.29.21,,8.31.21,KL,,,Y,,,,0.865734552
1063,16,8.29.21,,,KL,,,Y,,,,0.33182541
1064,16,8.27.21,9.23.21,,KL,F,N,Y,9/23/21,,,0.118259506
1065,16,8.27.21,9.22.21,,KL,M,N,Y,9/22/21,,,0.795034237
1066,16,8.25.21,,9.11.21,KL,,,Y,,,,0.562127842
1067,16,8.27.21,,9.22.21,KL,,,Y,,,,0.537712742
1068,16,8.27.21,,9.11.21,KL,,,Y,,,,0.299662709
1069,16,8.29.21,,,KL,,,N,,,,0.049294822
1070,16,,,,KL,,,N,,,,0.017250407
1071,16,,9.22.21,,KL,F,Y,Y,9/22/21,,,0.329660124
1072,118,8.25.21,9.23.21,,KL,F,Y,Y,9/23/21,,,0.379542095
1073,118,8.19.21,,9.21.21,KL,,,Y,,,,0.190030755
1074,118,8.19.21,9.23.21,,KL,M,Y,Y,9/23/21,,,0.001378219
1075,118,8.19.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.17684404
1076,118,8.19.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.571731317
1077,118,8.19.21,9.24.21,,KL,M,N,Y,9/24/21,,,0.840809513
1078,118,8.19.21,9.23.21,,KL,F,N,Y,9/23/21,,,0.875332958
1079,118,8.19.21,,8.30.21,KL,,,Y,,,,0.939450338
1080,118,,,,KL,,,N,,,,0.333571588
1081,118,,9.24.21,,KL,M,N,Y,9/24/21,,,0.944012119
1082,118,8.27.21,10.04.21,,KL,F,Y,Y,10/04/21,,,0.759964911
1083,118,8.19.21,,9.21.21,KL,,,Y,,,,0.097484308
1084,118,8.19.21,9.21.21,,KL,M,N,Y,9/21/21,,,0.821171937
1085,118,8.19.21,9.28.21,,KL,F,Y,Y,9/28/21,,,0.610912573
1086,118,8.29.21,9.24.21,,KL,,N,Y,9/24/21,,,0.930690782
1087,118,8.27.21,9.27.21,,KL,M,N,Y,9/27/21,,,0.410760027
1088,118,8.30.21,,,KL,,,N,,,,0.871336607
1089,118,,,,KL,,,N,,,,0.909943404
