gen1_ID,MID,hatch_date,wing_date,pop,sex,S.wing,viable,test_date,test_temp,test_age,rand,cohort
1003,114,8.20.21,9.22.21,KL,M,N,Y,9/22/21,NA,NA,0.584729391,1
1007,114,8.20.21,9.23.21,KL,M,N,Y,9/23/21,NA,NA,0.153205483,1
1009,114,8.20.21,9.22.21,KL,M,N,Y,9/22/21,NA,NA,0.958175618,1
1010,114,8.26.21,9.21.21,KL,M,N,Y,9/21/21,NA,NA,0.006955837,1
1011,114,8.20.21,9.21.21,KL,F,N,Y,9/21/21,NA,NA,0.344921076,1
1017,114,8.20.21,9.21.21,KL,F,N,Y,9/21/21,NA,NA,0.272128445,1
1019,114,8.26.21,9.22.21,KL,M,Y,Y,9/22/21,NA,NA,0.427570722,1
1022,119,8.29.21,9.22.21,KL,F,Y,Y,9/22/21,NA,NA,0.425674602,1
1024,119,8.29.21,9.23.21,KL,M,N,Y,9/23/21,NA,NA,0.225153251,1
1026,119,8.29.21,9.23.21,KL,F,N,Y,9/23/21,NA,NA,0.288852412,1
1027,119,8.29.21,9.22.21,KL,F,Y,Y,9/22/21,NA,NA,0.145113736,1
1032,16,8.29.21,9.24.21,KL,F,Y,Y,9/24/21,NA,NA,0.880781687,1
1037,16,8.29.21,9.24.21,KL,M,Y,Y,9/24/21,NA,NA,0.534638318,1
1040,16,8.27.21,9.22.21,KL,F,Y,Y,9/22/21,NA,NA,0.904208479,1
1042,16,8.27.21,9.21.21,KL,M,N,Y,9/21/21,NA,NA,0.649422183,1
1058,16,8.29.21,9.21.21,KL,,,Y,9/21/21,NA,NA,0.036215893,1
1064,16,8.27.21,9.23.21,KL,F,N,Y,9/23/21,NA,NA,0.118259506,1
1065,16,8.27.21,9.22.21,KL,M,N,Y,9/22/21,NA,NA,0.795034237,1
1071,16,,9.22.21,KL,F,Y,Y,9/22/21,NA,NA,0.329660124,1
1072,118,8.25.21,9.23.21,KL,F,Y,Y,9/23/21,NA,NA,0.379542095,1
1074,118,8.19.21,9.23.21,KL,M,Y,Y,9/23/21,NA,NA,0.001378219,1
1075,118,8.19.21,9.21.21,KL,M,N,Y,9/21/21,NA,NA,0.17684404,1
1076,118,8.19.21,9.21.21,KL,M,N,Y,9/21/21,NA,NA,0.571731317,1
1077,118,8.19.21,9.24.21,KL,M,N,Y,9/24/21,NA,NA,0.840809513,1
