gen1_ID,MID,hatch_date,pop,sex,S.wing,viable,wing_date,test_temp,test_age,rand,cohort,test_date,,
1003,114,8.20.21,KL,M,N,Y,9/22/21,28,20,0.584729391,1,10/12/21,,12
1007,114,8.20.21,KL,M,N,Y,9/23/21,28,19,0.153205483,1,10/12/21,,20
1009,114,8.20.21,KL,M,N,Y,9/22/21,28,20,0.958175618,1,10/12/21,,28
1010,114,8.26.21,KL,M,N,Y,9/21/21,28,21,0.006955837,1,10/12/21,,26
1011,114,8.20.21,KL,F,N,Y,9/21/21,28,21,0.344921076,1,10/12/21,,40
1017,114,8.20.21,KL,F,N,Y,9/21/21,28,21,0.272128445,1,10/12/21,,
1019,114,8.26.21,KL,M,Y,Y,9/22/21,28,20,0.427570722,1,10/12/21,,
1022,119,8.29.21,KL,F,Y,Y,9/22/21,28,20,0.425674602,1,10/12/21,,
1024,119,8.29.21,KL,M,N,Y,9/23/21,28,19,0.225153251,1,10/12/21,,
1026,119,8.29.21,KL,F,N,Y,9/23/21,28,19,0.288852412,1,10/12/21,,
1027,119,8.29.21,KL,F,Y,Y,9/22/21,28,20,0.145113736,1,10/12/21,,
1032,16,8.29.21,KL,F,Y,Y,9/24/21,28,18,0.880781687,1,10/12/21,,
1037,16,8.29.21,KL,M,Y,Y,9/24/21,28,18,0.534638318,1,10/12/21,,
1040,16,8.27.21,KL,F,Y,Y,9/22/21,28,20,0.904208479,1,10/12/21,,
1042,16,8.27.21,KL,M,N,Y,9/21/21,28,21,0.649422183,1,10/12/21,,
1058,16,8.29.21,KL,,,Y,9/21/21,28,21,0.036215893,1,10/12/21,,
1064,16,8.27.21,KL,F,N,Y,9/23/21,28,19,0.118259506,1,10/12/21,,
1065,16,8.27.21,KL,M,N,Y,9/22/21,28,20,0.795034237,1,10/12/21,,
1071,16,,KL,F,Y,Y,9/22/21,28,20,0.329660124,1,10/12/21,,
1072,118,8.25.21,KL,F,Y,Y,9/23/21,28,19,0.379542095,1,10/12/21,,
1074,118,8.19.21,KL,M,Y,Y,9/23/21,28,19,0.001378219,1,10/12/21,,
1075,118,8.19.21,KL,M,N,Y,9/21/21,28,21,0.17684404,1,10/12/21,,
1076,118,8.19.21,KL,M,N,Y,9/21/21,28,21,0.571731317,1,10/12/21,,
1077,118,8.19.21,KL,M,N,Y,9/24/21,28,18,0.840809513,1,10/12/21,,
1078,118,8.19.21,KL,F,N,Y,9/23/21,28,19,0.875332958,1,10/12/21,,
1081,118,,KL,M,N,Y,9/24/21,28,18,0.944012119,1,10/12/21,,
1084,118,8.19.21,KL,M,N,Y,9/21/21,28,21,0.821171937,1,10/12/21,,
1086,118,8.29.21,KL,,N,Y,9/24/21,28,18,0.930690782,1,10/12/21,,
1090,118,,KL,M,N,Y,9/21/21,20,22,0.71355586,1,10/13/21,,
1127,119,8.29.21,KL,M,N,Y,9/21/21,20,22,0.727261196,1,10/13/21,,
1128,119,,KL,M,N,Y,9/23/21,20,20,0.401637084,1,10/13/21,,
1129,119,8.26.21,KL,M,Y,Y,9/23/21,20,20,0.397288136,1,10/13/21,,
1130,119,8.27.21,KL,F,Y,Y,9/24/21,20,19,0.139004371,1,10/13/21,,
1131,119,8.27.21,KL,M,N,Y,9/21/21,20,22,0.116675035,1,10/13/21,,
1133,119,8.26.21,KL,F,Y,Y,9/21/21,20,22,0.058328743,1,10/13/21,,
1134,119,,KL,M,N,Y,9/23/21,20,20,0.650606512,1,10/13/21,,
1136,119,8.25.21,KL,F,Y,Y,9/21/21,20,22,0.674464194,1,10/13/21,,
1137,119,8.26.21,KL,F,Y,Y,9/21/21,20,22,0.8295628,1,10/13/21,,
1138,119,8.25.21,KL,M,Y,Y,9/21/21,20,22,0.245604296,1,10/13/21,,
1139,119,8.26.21,KL,F,N,Y,9/24/21,20,19,0.209378749,1,10/13/21,,
1141,119,8.27.21,KL,F,N,Y,9/24/21,20,19,0.975333746,1,10/13/21,,
1142,335,8.27.21,PK,M,N,Y,9/24/21,20,19,0.952466198,1,10/13/21,,
1143,335,8.26.21,PK,M,N,Y,9/21/21,20,22,0.112202155,1,10/13/21,,
1144,335,8.19.21,PK,M,N,Y,9/22/21,20,21,0.301531517,1,10/13/21,,
1145,335,8.19.21,PK,F,N,Y,9/21/21,20,22,0.53865693,1,10/13/21,,
1146,335,8.19.21,PK,M,N,Y,9/21/21,20,22,0.513982107,1,10/13/21,,
1147,335,8.19.21,PK,M,N,Y,9/21/21,20,22,0.823225863,1,10/13/21,,
1149,335,8.19.21,PK,F,Y,Y,9/21/21,20,22,0.520636764,1,10/13/21,,
1163,329,8.29.21,PK,F,Y,Y,9/24/21,20,19,0.762505222,1,10/13/21,,
